Timestamp,Node_ID,Application,CPU_Utilization,Memory_Usage,Workload_Intensity,Network_Traffic,Storage_Utilization,Number_of_Requests,CPU_Temperature,Power_Consumption,Clock_Speed,Cache_Size,Number_of_Cores
2023-08-09 13:19:24,Node_4,Analytics,56.38327094024437,83.23752096721086,Moderate,100 Mbps,80%,1909,58.52589165138155,224.10772007353935,2.84,8,2
2023-08-09 16:20:55,Node_4,Analytics,39.05668964776578,67.11600794535074,High,50 Mbps,90%,998,53.97905450100508,286.4124764409098,3.24,12,4
2023-08-09 12:17:38,Node_4,Web Server,42.90539243490901,38.355006389846935,Moderate,50 Mbps,90%,1832,44.81905001501005,187.34092584100253,3.33,6,10
2023-08-09 10:30:18,Node_4,File Server,41.12775949160108,59.91330664181996,Low,200 Mbps,60%,292,48.668043182511,347.40723473796345,2.88,20,4
2023-08-09 15:22:37,Node_4,AI Inference,43.88281847013409,86.5808099155226,Low,50 Mbps,40%,802,51.61706111775629,264.05928576879,2.42,8,4
2023-08-09 11:45:12,Node_4,Web Server,56.17001597376647,70.7057039984893,Low,50 Mbps,90%,1031,52.46909190300326,283.8837541495408,2.72,12,8
2023-08-09 16:39:05,Node_4,AI Inference,15.384866053562105,71.07059857943867,High,200 Mbps,80%,289,41.73231217674485,331.104841531652,2.41,6,10
2023-08-09 11:45:12,Node_4,AI Inference,82.51146499450519,88.20737931236198,Low,20 Mbps,70%,956,56.00460959671657,335.2567962547442,2.63,8,6
2023-08-09 14:54:59,Node_4,Analytics,82.58939033841109,88.5498943976329,High,100 Mbps,60%,1693,63.815196445396,152.3936116802502,3.24,16,4
2023-08-09 12:05:24,Node_4,AI Inference,47.79247816098328,43.82474892065847,Moderate,150 Mbps,70%,1701,48.746066003452384,171.71690333874247,2.2,16,8
2023-08-09 14:51:31,Node_4,File Server,55.77107080325433,89.77633370470599,High,50 Mbps,60%,1994,76.4829270923243,286.9404238091712,2.29,8,10
2023-08-09 14:14:49,Node_4,AI Inference,19.325468647785517,67.59984689474916,High,50 Mbps,60%,1521,53.03666988264048,193.84753186890495,2.87,16,6
2023-08-09 09:51:48,Node_4,Database,35.865310054439234,74.55713451837357,Low,150 Mbps,60%,834,69.17543167063802,301.4739698776605,3.34,12,2
2023-08-09 17:28:52,Node_4,Database,24.8928878106548,64.53142123217552,High,20 Mbps,80%,681,64.03437303839104,198.18504422788152,2.22,16,4
2023-08-09 16:58:16,Node_4,Analytics,53.42440487638005,50.71410950809566,Low,100 Mbps,40%,1134,45.81762746797073,275.0228553441666,3.1,20,2
2023-08-09 14:20:45,Node_4,AI Inference,78.05518580704522,77.09113701955414,Low,20 Mbps,70%,315,48.54282759101472,158.21178403484765,2.31,12,8
2023-08-09 12:05:24,Node_4,Web Server,66.39430169464461,71.47637659457459,Moderate,20 Mbps,60%,1129,47.79012764574486,235.25643518671245,2.43,8,6
2023-08-09 08:30:52,Node_4,File Server,84.56249472053234,84.30562248562964,Moderate,50 Mbps,60%,1671,55.39609943766981,282.9774407605568,2.9,12,10
2023-08-09 12:51:52,Node_4,AI Inference,40.54474347320293,64.9067759380022,High,150 Mbps,60%,354,76.99897805265293,264.5066620207106,2.71,6,8
2023-08-09 12:18:51,Node_4,Database,67.55729956123706,88.80229923406978,Moderate,200 Mbps,90%,861,45.14567712913961,155.92476368511797,2.75,20,6
2023-08-09 13:29:34,Node_4,Analytics,43.04442353281827,89.37943777240619,Moderate,150 Mbps,80%,207,40.33283615695353,242.50290056941355,2.23,20,2
2023-08-09 12:43:27,Node_4,Web Server,80.37416553905682,84.67353146733353,Moderate,50 Mbps,80%,1536,43.03507847016766,328.9149698763123,3.47,8,10
2023-08-09 12:39:04,Node_4,AI Inference,51.98781889775404,43.771701640645965,High,50 Mbps,70%,1682,42.854233453435015,209.5553147137838,2.87,16,8
2023-08-09 16:01:25,Node_4,AI Inference,80.35127008326563,52.33053121937404,High,100 Mbps,80%,775,46.46257655656682,291.78676956121944,2.76,12,6
2023-08-09 17:18:25,Node_4,AI Inference,89.88721012834418,39.07532085795891,High,100 Mbps,60%,1695,77.00123377424165,243.01743142703697,2.28,12,10
2023-08-09 11:25:19,Node_4,Web Server,32.05013194161653,30.303837542405734,Moderate,50 Mbps,40%,1739,48.452798285197744,153.61403197434169,2.89,16,10
2023-08-09 10:20:17,Node_4,Analytics,36.1882039911844,40.79907804859742,Low,150 Mbps,80%,1194,76.29194041868101,303.73116480011225,2.91,12,10
2023-08-09 09:33:00,Node_4,Analytics,18.22623889997353,36.90775959319535,High,50 Mbps,60%,1080,70.8318597207421,276.89693276786977,2.72,8,4
2023-08-09 11:01:42,Node_4,File Server,60.9284249721729,36.103838158484194,High,100 Mbps,60%,1633,53.093354193896005,263.1869416650844,3.37,6,4
2023-08-09 11:41:06,Node_4,Analytics,54.34371805321423,79.41341888004534,High,150 Mbps,40%,1960,59.99470508268414,192.90101762523585,3.24,20,4
2023-08-09 09:05:10,Node_4,Database,65.13193126557812,85.26910398807166,Low,100 Mbps,90%,919,73.7367165091826,209.31654680696815,3.31,16,2
2023-08-09 17:45:10,Node_4,AI Inference,12.412108771429988,55.7308150639436,Low,50 Mbps,80%,304,41.40326051930749,271.17299134721907,3.08,20,2
2023-08-09 17:13:31,Node_4,Analytics,69.38877562739455,85.77709942382424,Low,150 Mbps,60%,821,59.04815440994722,216.4120094717893,2.43,8,6
2023-08-09 11:47:42,Node_4,Analytics,65.08197508762137,69.36798150179956,Moderate,200 Mbps,80%,983,71.27861972950924,170.83357928156602,2.09,12,10
2023-08-09 09:51:05,Node_4,AI Inference,69.52162874959993,31.629628295998742,High,20 Mbps,40%,1981,60.79999634859689,264.18893515544374,2.93,12,6
2023-08-09 10:20:17,Node_4,Web Server,54.58383298622743,38.60359016603549,Moderate,20 Mbps,40%,547,65.51756078015131,182.7208239028132,2.68,16,4
2023-08-09 09:35:23,Node_4,Web Server,75.45325566706576,32.45212018780487,Low,50 Mbps,60%,275,53.07438915844784,150.93466912592834,2.47,20,4
2023-08-09 10:57:31,Node_4,AI Inference,17.716355935376598,55.24231107892143,Low,20 Mbps,60%,631,77.89856563883359,191.65937519433987,3.18,8,6
2023-08-09 11:54:42,Node_4,Web Server,74.10148728837521,73.41710857120677,High,200 Mbps,90%,622,66.68420733001943,328.8267357635437,2.96,16,4
2023-08-09 08:58:27,Node_4,Analytics,87.21879640951555,73.44584447876787,High,50 Mbps,70%,335,63.32280835505266,232.5067475928841,2.84,20,4
2023-08-09 09:57:10,Node_4,Database,69.45153012708505,72.21633053727437,High,150 Mbps,40%,1047,48.30424712205241,277.1781780040362,2.51,20,8
2023-08-09 11:17:30,Node_4,File Server,35.757230834984604,74.05841325512114,High,150 Mbps,40%,1415,41.01013411546556,220.67006823744225,3.47,6,6
2023-08-09 08:28:58,Node_4,Web Server,54.248372178023416,59.5668594371558,High,20 Mbps,70%,1217,61.66477157606675,335.1958060029517,2.74,6,4
2023-08-09 17:18:14,Node_4,Web Server,61.31980219424926,79.54818618947607,High,100 Mbps,70%,1227,52.92677218233179,213.3157765153144,3.33,12,10
2023-08-09 14:45:53,Node_4,Database,50.11574405306584,59.81171780349813,Low,50 Mbps,40%,1745,60.794062310438335,199.24305955214467,3.31,6,2
2023-08-09 16:01:58,Node_4,AI Inference,86.14860622050749,47.014794108726136,Low,20 Mbps,70%,1322,78.87785306313518,331.6960833918457,2.23,20,2
2023-08-09 11:25:19,Node_4,Web Server,29.028255680920523,61.68911390099952,High,100 Mbps,70%,826,51.09611676905477,177.6538308258575,3.07,12,10
2023-08-09 12:01:08,Node_4,Database,84.52267474083459,62.01312555317687,Low,20 Mbps,40%,1858,42.21799925009743,243.96857178577685,2.88,8,10
2023-08-09 13:20:35,Node_4,Analytics,56.307651236768805,56.13526331178505,Low,50 Mbps,40%,1973,53.01403153411451,180.64379685201328,2.19,12,6
2023-08-09 11:22:17,Node_4,File Server,42.47603155963192,62.40203654805478,Low,50 Mbps,80%,1944,76.15626028213924,210.1756424840525,2.1,12,10
2023-08-09 14:42:30,Node_4,Analytics,69.36644835029844,50.63854361862833,Moderate,150 Mbps,40%,634,79.94031134642513,276.46972937485816,2.1,16,2
2023-08-09 08:53:14,Node_4,File Server,29.7988848344624,36.119718375179765,Low,20 Mbps,70%,647,41.53723145086849,256.8622202288074,2.15,20,10
2023-08-09 16:08:28,Node_4,Database,79.79364301143431,75.53232460448775,Moderate,50 Mbps,70%,758,61.28418126343071,178.70387252484306,2.41,12,10
2023-08-09 17:04:01,Node_4,Database,25.36278222928229,86.64359489420794,Moderate,150 Mbps,70%,1108,47.28165515970858,207.28891924224797,3.04,20,4
2023-08-09 09:07:43,Node_4,AI Inference,66.03737739781741,40.40806961240183,Moderate,20 Mbps,90%,576,48.04814042379272,171.4627195194019,2.22,16,6
2023-08-09 13:19:24,Node_4,Database,19.009479379999725,79.18550886934207,Low,200 Mbps,60%,333,73.80401812745266,308.7355392342829,3.5,12,10
2023-08-09 10:57:15,Node_4,Analytics,75.67779953076901,30.908301591151897,Moderate,20 Mbps,90%,490,66.67137490508601,227.03594182066175,2.82,12,10
2023-08-09 11:56:19,Node_4,File Server,65.51625055372901,85.57090666050118,Moderate,150 Mbps,70%,1061,46.69766902114263,228.2188333044949,2.25,20,10
2023-08-09 16:15:07,Node_4,File Server,33.4845797538732,48.0649413523799,Moderate,100 Mbps,90%,1753,71.92941267037057,321.66578638823034,2.97,8,10
2023-08-09 11:06:00,Node_4,Analytics,66.5419964567214,30.08733920598258,Low,20 Mbps,90%,1077,55.620183663814615,219.96594980340308,2.47,12,2
2023-08-09 15:55:01,Node_4,Analytics,60.42617685615633,89.98398942233436,Low,150 Mbps,40%,1136,47.70984945903007,154.6236598676173,2.55,12,4
2023-08-09 12:40:09,Node_4,Database,67.37070718700724,53.59687832525159,High,150 Mbps,70%,1055,61.53580267992622,288.54835877195615,2.15,16,2
2023-08-09 15:30:51,Node_4,File Server,85.09003919522564,61.59585656964498,High,200 Mbps,40%,1007,42.50162150395171,201.1288697032669,2.57,12,6
2023-08-09 10:51:42,Node_4,Analytics,78.44772657873565,72.90420644620349,Low,50 Mbps,90%,662,59.25927636557668,284.4338586114603,2.02,20,10
2023-08-09 16:07:16,Node_4,Database,43.96912273488467,37.89695929726267,Low,100 Mbps,90%,1579,73.1065840854436,290.7128769983996,2.78,6,2
2023-08-09 15:08:54,Node_4,AI Inference,78.91656943555287,47.93759781843468,Low,150 Mbps,60%,419,41.081036810471645,262.7554661246613,3.13,16,4
2023-08-09 08:53:32,Node_4,Database,31.69341265622305,61.18745511810928,High,200 Mbps,60%,483,73.22921370281503,305.82838567480104,2.3,8,4
2023-08-09 13:16:06,Node_4,File Server,46.273750522821054,88.78005680087767,High,200 Mbps,90%,521,78.36894574982308,230.5721424701112,2.26,6,4
2023-08-09 10:44:30,Node_4,Analytics,11.733852141548471,48.20383371476462,Moderate,100 Mbps,60%,1473,43.94073869624021,329.17279518172154,2.86,12,10
2023-08-09 13:40:23,Node_4,Analytics,53.31003560292668,68.78485550514384,High,100 Mbps,80%,1897,67.19342872087569,163.52242053504168,3.24,12,4
2023-08-09 14:22:41,Node_4,File Server,18.08478946020859,85.2407642936293,Low,20 Mbps,80%,1264,44.172354504962186,169.7818171227606,2.0,20,4
2023-08-09 15:33:49,Node_4,Web Server,12.579161689110192,74.67706157832686,Low,50 Mbps,80%,370,79.81969795412056,174.10716231022312,3.49,16,6
2023-08-09 15:28:16,Node_4,AI Inference,47.01935111416668,43.578708489692346,Low,200 Mbps,90%,753,59.708525712843056,246.557308428348,2.34,6,2
2023-08-09 15:13:45,Node_4,AI Inference,63.39689379221,62.064200850340775,High,50 Mbps,80%,1146,42.419428823382695,254.18736490048985,2.86,16,4
2023-08-09 12:17:00,Node_4,Web Server,12.56316302667816,64.71986737965263,High,50 Mbps,70%,1016,51.1271530832022,300.2829350046633,2.02,8,10
2023-08-09 16:01:25,Node_4,Analytics,38.48305587152389,55.792466591593296,High,50 Mbps,90%,967,78.44760869419636,324.53204543950073,2.44,12,10
2023-08-09 15:55:01,Node_4,Web Server,56.98292667243055,84.35459630437212,High,50 Mbps,70%,1859,53.16513946887392,169.07904929528405,3.48,6,8
